glc_class,bin,area_Mha,bin_mid
51 Open evergreen broadleaved,10-20,0.04834678853623131,15.0
51 Open evergreen broadleaved,20-30,0.09529210589067912,25.0
51 Open evergreen broadleaved,30-40,0.19844506981116178,35.0
51 Open evergreen broadleaved,40-50,0.35797165406301434,45.0
51 Open evergreen broadleaved,50-60,0.5599392024757684,55.0
51 Open evergreen broadleaved,60-70,0.7032145710189507,65.0
51 Open evergreen broadleaved,70-80,0.6836170077681828,75.0
51 Open evergreen broadleaved,80-90,0.18768485612330965,85.0
51 Open evergreen broadleaved,90-100,0.004066829309535295,95.0
52 Closed evergreen broadleaved,10-20,0.0008072092971778498,15.0
52 Closed evergreen broadleaved,20-30,0.0016871396534548786,25.0
52 Closed evergreen broadleaved,30-40,0.004209230486546055,35.0
52 Closed evergreen broadleaved,40-50,0.015741180059677087,45.0
52 Closed evergreen broadleaved,50-60,0.038260440145051706,55.0
52 Closed evergreen broadleaved,60-70,0.01703412112340255,65.0
52 Closed evergreen broadleaved,70-80,0.002678398598389319,75.0
52 Closed evergreen broadleaved,80-90,0.0003057285893943224,85.0
52 Closed evergreen broadleaved,90-100,9.324000035348945e-05,95.0
61 Open deciduous broadleaved,10-20,0.3563380121744686,15.0
61 Open deciduous broadleaved,20-30,0.4843017000713659,25.0
61 Open deciduous broadleaved,30-40,0.4679819911859658,35.0
61 Open deciduous broadleaved,40-50,0.6464827273921055,45.0
61 Open deciduous broadleaved,50-60,0.7277272580530587,55.0
61 Open deciduous broadleaved,60-70,0.8453183287341618,65.0
61 Open deciduous broadleaved,70-80,0.7981186396140432,75.0
61 Open deciduous broadleaved,80-90,0.22741444956804932,85.0
61 Open deciduous broadleaved,90-100,0.03286928200696591,95.0
62 Closed deciduous broadleaved,10-20,0.6639950040467332,15.0
62 Closed deciduous broadleaved,20-30,1.3934468346945674,25.0
62 Closed deciduous broadleaved,30-40,2.6125561641399577,35.0
62 Closed deciduous broadleaved,40-50,5.574375817368744,45.0
62 Closed deciduous broadleaved,50-60,9.720668634852784,55.0
62 Closed deciduous broadleaved,60-70,17.3671576413714,65.0
62 Closed deciduous broadleaved,70-80,33.28522651254316,75.0
62 Closed deciduous broadleaved,80-90,14.977477553605816,85.0
62 Closed deciduous broadleaved,90-100,0.3523590814535019,95.0
71 Open evergreen needleleaved,10-20,4.769043062550879,15.0
71 Open evergreen needleleaved,20-30,8.076897025679777,25.0
71 Open evergreen needleleaved,30-40,6.11384290541396,35.0
71 Open evergreen needleleaved,40-50,1.6092379765714941,45.0
71 Open evergreen needleleaved,50-60,0.4060642116571064,55.0
71 Open evergreen needleleaved,60-70,0.1121828118370674,65.0
71 Open evergreen needleleaved,70-80,0.04539340534856335,75.0
71 Open evergreen needleleaved,80-90,0.019895035134248472,85.0
71 Open evergreen needleleaved,90-100,0.007878714382810601,95.0
72 Closed evergreen needleleaved,10-20,1.4260310154063354,15.0
72 Closed evergreen needleleaved,20-30,3.9284621951287924,25.0
72 Closed evergreen needleleaved,30-40,9.135651131693702,35.0
72 Closed evergreen needleleaved,40-50,15.934718224293706,45.0
72 Closed evergreen needleleaved,50-60,16.315824471620903,55.0
72 Closed evergreen needleleaved,60-70,15.963245946519507,65.0
72 Closed evergreen needleleaved,70-80,14.957223703999617,75.0
72 Closed evergreen needleleaved,80-90,4.29190294133019,85.0
72 Closed evergreen needleleaved,90-100,0.43274771881709334,95.0
81 Open deciduous needleleaved,10-20,0.14301886713044434,15.0
81 Open deciduous needleleaved,20-30,0.4142559269822813,25.0
81 Open deciduous needleleaved,30-40,0.6662676184082897,35.0
81 Open deciduous needleleaved,40-50,1.1148709108149073,45.0
81 Open deciduous needleleaved,50-60,1.8198280307816432,55.0
81 Open deciduous needleleaved,60-70,3.2818703012656822,65.0
81 Open deciduous needleleaved,70-80,5.0057950358013885,75.0
81 Open deciduous needleleaved,80-90,2.4795774086946354,85.0
81 Open deciduous needleleaved,90-100,0.25260230848707094,95.0
82 Closed deciduous needleleaved,10-20,0.010282605215453367,15.0
82 Closed deciduous needleleaved,20-30,0.03260539000596483,25.0
82 Closed deciduous needleleaved,30-40,0.06591268401459144,35.0
82 Closed deciduous needleleaved,40-50,0.07883533618122994,45.0
82 Closed deciduous needleleaved,50-60,0.09922503002323683,55.0
82 Closed deciduous needleleaved,60-70,0.11204206948359337,65.0
82 Closed deciduous needleleaved,70-80,0.08334114702184167,75.0
82 Closed deciduous needleleaved,80-90,0.016497306415484587,85.0
82 Closed deciduous needleleaved,90-100,0.0033023700125198196,95.0
91 Open mixed forest,10-20,0.09107480010998546,15.0
91 Open mixed forest,20-30,0.09556539106818651,25.0
91 Open mixed forest,30-40,0.1192188092755075,35.0
91 Open mixed forest,40-50,0.0907163964615673,45.0
91 Open mixed forest,50-60,0.05251929337557865,55.0
91 Open mixed forest,60-70,0.033328066008703916,65.0
91 Open mixed forest,70-80,0.015453580293880094,75.0
91 Open mixed forest,80-90,0.0038307183674636132,85.0
91 Open mixed forest,90-100,0.0008202600031096377,95.0
92 Closed mixed forest,10-20,0.0,15.0
92 Closed mixed forest,20-30,0.0,25.0
92 Closed mixed forest,30-40,0.0,35.0
92 Closed mixed forest,40-50,0.0,45.0
92 Closed mixed forest,50-60,0.0,55.0
92 Closed mixed forest,60-70,0.0,65.0
92 Closed mixed forest,70-80,0.0,75.0
92 Closed mixed forest,80-90,0.0,85.0
92 Closed mixed forest,90-100,0.0,95.0
