subregion,threshold,region,subregion_total_forest_area,FAO_2000_Mha
Caribbean,10.0,Americas,44.91497948799698,41.647999999999996
Caribbean,20.0,Americas,44.30260501709017,41.647999999999996
Caribbean,30.0,Americas,43.80506927368647,41.647999999999996
Caribbean,40.0,Americas,43.306059008577165,41.647999999999996
Caribbean,50.0,Americas,42.57713341144634,41.647999999999996
Central Africa,10.0,Africa,391.68393452792526,269.98400000000004
Central Africa,20.0,Africa,371.38265210112394,269.98400000000004
Central Africa,30.0,Africa,331.5154577038511,269.98400000000004
Central Africa,40.0,Africa,309.075129898297,269.98400000000004
Central Africa,50.0,Africa,271.2624587073604,269.98400000000004
Central America and Mexico,10.0,Americas,100.31140686165645,95.402
Central America and Mexico,20.0,Americas,93.2560007357712,95.402
Central America and Mexico,30.0,Americas,87.39099552504587,95.402
Central America and Mexico,40.0,Americas,82.02632282724713,95.402
Central America and Mexico,50.0,Americas,72.98522723447343,95.402
Central Asia,10.0,Near East,8.958731867775667,11.026
Central Asia,20.0,Near East,7.432669485546854,11.026
Central Asia,30.0,Near East,6.36349238032618,11.026
Central Asia,40.0,Near East,5.759374287143934,11.026
Central Asia,50.0,Near East,4.757860299536208,11.026
East Africa,10.0,Africa,72.35268920534058,71.077
East Africa,20.0,Africa,40.64877322796532,71.077
East Africa,30.0,Africa,24.260580279852526,71.077
East Africa,40.0,Africa,18.187076171887334,71.077
East Africa,50.0,Africa,10.951576925180733,71.077
East Asia,10.0,Asia and the Pacific,235.29128695594457,230.072
East Asia,20.0,Asia and the Pacific,219.88655274891255,230.072
East Asia,30.0,Asia and the Pacific,204.25900230683231,230.072
East Asia,40.0,Asia and the Pacific,191.78151581921665,230.072
East Asia,50.0,Asia and the Pacific,167.79450093337317,230.072
Eastern Europe,10.0,Europe,966.8562482484725,876.997
Eastern Europe,20.0,Europe,891.5057210732712,876.997
Eastern Europe,30.0,Europe,835.4824406575194,876.997
Eastern Europe,40.0,Europe,774.8360703081428,876.997
Eastern Europe,50.0,Europe,668.8382177324685,876.997
Indian Ocean Islands,10.0,Africa,33.67365365338523,13.130999999999998
Indian Ocean Islands,20.0,Africa,21.96633942920617,13.130999999999998
Indian Ocean Islands,30.0,Africa,17.324092263020923,13.130999999999998
Indian Ocean Islands,40.0,Africa,15.69688429975514,13.130999999999998
Indian Ocean Islands,50.0,Africa,12.386989402025536,13.130999999999998
North America,10.0,Americas,470.58910977718295,360.305
North America,20.0,Americas,441.38005125883757,360.305
North America,30.0,Americas,417.70445695080025,360.305
North America,40.0,Americas,389.2726370236999,360.305
North America,50.0,Americas,323.6437529292114,360.305
South America,10.0,Americas,948.6325772662645,913.4970000000001
South America,20.0,Americas,925.2589631774202,913.4970000000001
South America,30.0,Americas,902.6161222924422,913.4970000000001
South America,40.0,Americas,875.8419686010752,913.4970000000001
South America,50.0,Americas,814.7209026726686,913.4970000000001
South Asia,10.0,Asia and the Pacific,64.55155376745779,80.26799999999999
South Asia,20.0,Asia and the Pacific,58.36804891426943,80.26799999999999
South Asia,30.0,Asia and the Pacific,52.482529075724976,80.26799999999999
South Asia,40.0,Asia and the Pacific,48.635142305259606,80.26799999999999
South Asia,50.0,Asia and the Pacific,42.15025444005706,80.26799999999999
South/East Mediterranean,10.0,Near East,4.60589643598208,9.298
South/East Mediterranean,20.0,Near East,3.646640526403517,9.298
South/East Mediterranean,30.0,Near East,2.633246267265403,9.298
South/East Mediterranean,40.0,Near East,2.288367213008532,9.298
South/East Mediterranean,50.0,Near East,1.744156874868185,9.298
Southeast Asia,10.0,Asia and the Pacific,329.0369371501203,212.108
Southeast Asia,20.0,Asia and the Pacific,322.0536933615549,212.108
Southeast Asia,30.0,Asia and the Pacific,315.01349798515537,212.108
Southeast Asia,40.0,Asia and the Pacific,309.5486846396459,212.108
Southeast Asia,50.0,Asia and the Pacific,298.5099225895943,212.108
Southern Africa,10.0,Africa,349.6093214111922,279.846
Southern Africa,20.0,Africa,220.3507692969559,279.846
Southern Africa,30.0,Africa,144.10157987442136,279.846
Southern Africa,40.0,Africa,112.37504420135643,279.846
Southern Africa,50.0,Africa,65.33279099883487,279.846
West Africa,10.0,Africa,178.24432140656185,96.686
West Africa,20.0,Africa,87.8971253378149,96.686
West Africa,30.0,Africa,57.2792037463122,96.686
West Africa,40.0,Africa,46.535311114934146,96.686
West Africa,50.0,Africa,30.610243431910888,96.686
West Asia,10.0,Near East,17.138140238938043,39.884
West Asia,20.0,Near East,15.191643806170317,39.884
West Asia,30.0,Near East,13.101917545298244,39.884
West Asia,40.0,Near East,12.171072044201264,39.884
West Asia,50.0,Near East,10.592313661908797,39.884
Western Europe,10.0,Europe,143.2980830942655,132.329
Western Europe,20.0,Europe,135.90662551723057,132.329
Western Europe,30.0,Europe,128.84426276788946,132.329
Western Europe,40.0,Europe,122.75736027189373,132.329
Western Europe,50.0,Europe,110.63292627047653,132.329
Pacific Region,10.0,Asia and the Pacific,187.82593054253636,181.98800000000003
Pacific Region,20.0,Asia and the Pacific,164.0255498189232,181.98800000000003
Pacific Region,30.0,Asia and the Pacific,151.88208422613133,181.98800000000003
Pacific Region,40.0,Asia and the Pacific,141.06098377875261,181.98800000000003
Pacific Region,50.0,Asia and the Pacific,120.59100137249425,181.98800000000003
