country,GLC_Mha
Afghanistan,1.0980200727015257
Albania,0.9027382967331888
Algeria,2.221063659620586
Andorra,0.0275740791986148
Angola,81.05771716366883
Antigua & Barbuda,0.0271692872132174
Argentina,56.41084933364992
Armenia,0.5543854257235744
Australia,94.1029359112374
Austria,4.864817696062146
Azerbaijan,1.5433490595107855
"Bahamas, The",0.3788776918564364
Bahrain,0.0009557072162698
Bangladesh,1.3311885461372182
Barbados,0.0092318820791533
Belarus,9.86750366728416
Belgium,0.913844807036864
Belize,1.6622949732085406
Benin,7.932238465154265
Bhutan,3.2174338312903585
Bolivia,65.91919085340122
Bosnia & Herzegovina,3.661466190455748
Botswana,2.7503086542243462
Brazil,544.8111437243232
Brunei,0.5376423769644586
Bulgaria,4.610492183819118
Burkina Faso,3.513762430753219
Burma,43.229085626239545
Burundi,1.168325897963712
Cabo Verde,0.0006813783662503
Cambodia,10.184274274206368
Cameroon,39.216737099981
Canada,447.4006511003424
Central African Rep,56.31605760429871
Chad,3.682123121323628
Chile,25.529926824588777
China,229.2575123837088
Colombia,80.21687423729198
Comoros,0.1535683432981108
Cook Is,0.0
Costa Rica,4.360739450505062
Cote d'Ivoire,28.305464255716043
Croatia,2.9176394133140207
Cuba,4.77990049442977
Cyprus,0.2145085726826542
Czechia,3.333192448274466
Dem Rep of the Congo,203.5514541561332
Denmark,0.6951965085142928
Djibouti,0.0066921887460473
Dominica,0.0659389405647255
Dominican Republic,2.6123515610191053
Ecuador,17.431383871615054
Egypt,0.0500821935269125
El Salvador,1.4663119544676326
Equatorial Guinea,2.626474954816829
Eritrea,0.1706417538564947
Estonia,2.7285928765139613
Ethiopia,38.38226829485188
Fed States of Micronesia,0.0
Fiji,0.0
Finland,25.01560092814594
France,20.719632960451108
Gabon,24.168400495076188
"Gambia, The",0.3778230355335901
Georgia,4.242510485099342
Germany,13.308144717427355
Ghana,16.03156849778902
Greece,3.870004348514709
Grenada,0.0297309685190137
Guatemala,8.422360486117523
Guinea,22.44156913076439
Guinea-Bissau,2.69769883292611
Guyana,18.87472080133456
Haiti,0.8627147593735964
Honduras,7.875081406417357
Hungary,2.251898457232842
Iceland,0.0091831822681842
India,87.41379961819091
Indonesia,155.91691339136946
Iran,5.38708945338234
Iraq,0.0716033735465418
Ireland,1.1766249158041404
Israel,0.0671793461778789
Italy,10.896491850277256
Jamaica,0.8391684179576819
Japan,29.254636569958706
Jordan,0.0235692350248137
Kazakhstan,10.042534578571733
Kenya,8.342532888481303
Kiribati,0.0
"Korea, North",8.536507549606725
"Korea, South",6.677438749931095
Kuwait,1.1765912377929684e-05
Kyrgyzstan,4.027248525394655
Laos,14.781174098003566
Latvia,3.797615578968441
Lebanon,0.1457184705963838
Lesotho,0.1623179984817712
Liberia,9.422372324303565
Libya,0.0746053923195788
Liechtenstein,0.0101232527883425
Lithuania,2.587600351474571
Luxembourg,0.1192757943497234
Macedonia,1.034906078184893
Madagascar,23.15385316381108
Malawi,5.013165280723698
Malaysia,27.784268246346976
Maldives,0.0009461494084665
Mali,5.739591359706119
Malta,1.9607602234150007e-05
Marshall Is,0.0
Mauritania,0.0117071095197349
Mauritius,0.1836310039467423
Mexico,83.80382209401098
Moldova,0.3640004716730896
Monaco,9.69574363336302e-06
Mongolia,12.96354248907371
Montenegro,0.8587340106383853
Morocco,1.3640008592349655
Mozambique,64.76004275064624
Namibia,1.4081791674809812
Nauru,0.0
Nepal,9.711792456269643
Netherlands,0.5510089656425914
New Zealand,9.067021903764113
Nicaragua,9.428814343274947
Niger,0.3654262681557252
Nigeria,37.72736598163492
Niue,0.0
Norway,16.467682868003752
Oman,0.0436097332614244
Pakistan,4.402817309757075
Palau,0.0
Panama,6.080543791607082
Papua New Guinea,40.15005257379258
Paraguay,29.81976251045495
Peru,74.25248831024038
Philippines,18.98253261100082
Poland,11.527773990616147
Portugal,4.613863365275905
Qatar,0.0123605940629123
Rep of the Congo,24.95876327880203
Romania,9.107281498994784
Russia,974.0605737342818
Rwanda,0.8221109615067275
Saint Lucia,0.05339950262498
Samoa,0.0
San Marino,0.0012990103301585
Sao Tome & Principe,0.0916469544688502
Saudi Arabia,0.2429686350618587
Senegal,3.56355409132843
Serbia,3.762782158161935
Seychelles,0.0219774218357241
Sierra Leone,6.870243145880325
Singapore,0.0086325452948225
Slovakia,2.6123501425828506
Slovenia,1.452525620817947
Solomon Is,0.0
Somalia,2.25923210030897
South Africa,20.49764682264244
Spain,16.965526371695343
Sri Lanka,2.426265215667423
St Kitts & Nevis,0.0185288865289609
St Vincent & the Grenadines,0.0293275675240903
Sudan,3.865601262643168
Suriname,13.560464401449437
Swaziland,1.2237334813870684
Sweden,32.037780030872405
Switzerland,1.8793266176746832
Syria,0.2126945054781809
Tajikistan,0.9212391732982274
Tanzania,50.73373503665219
Thailand,19.05721895594352
Timor-Leste,1.1195363696869272
Togo,4.152749411795689
Tonga,0.0
Trinidad & Tobago,0.4072849782689819
Tunisia,0.2734237577437304
Turkey,16.04430847912605
Turkmenistan,0.1064035596287192
Tuvalu,0.0
Uganda,9.707786103969116
Ukraine,11.937161762227923
United Arab Emirates,0.0675081287167563
United Kingdom,5.0648220646781335
United States,286.386072526998
Uruguay,2.2025090163967405
Uzbekistan,0.410061598435041
Vanuatu,0.0
Venezuela,51.044350514002346
Vietnam,13.49379066223604
West Bank,0.0032243133897815
Yemen,0.280571350517509
Zambia,46.87886487779428
Zimbabwe,20.30377587963263
