state,threshold_10,threshold_20,threshold_30,threshold_40,threshold_50
Alabama,9.616855050682208,9.385398146683052,9.125928835993736,8.899154762598442,8.682461738402635
Alaska,56.799190403515446,52.74503682498567,50.205782947801055,46.13034874419581,37.0396199620025
Arizona,2.9618800065161395,2.416421331447429,1.863393535942408,1.5158838424915786,1.192493640741687
Arkansas,8.149205571474514,7.931670153475966,7.718343763803895,7.521118872947055,7.337972128825222
California,12.99608492080683,11.124684371179898,9.903538830035211,9.037234642170093,8.072230198827153
Colorado,6.122682502291583,5.420017529761668,4.808458217273347,4.375382836706173,3.722765045062471
Connecticut,1.069834219807042,1.0340604689873754,1.004127058906235,0.9629587470650652,0.9302026972064412
Delaware,0.2000479820547439,0.1828979710032112,0.1701939158075138,0.1589021607668991,0.1511790609322867
Florida,8.578770712633082,7.984326676070053,7.456015031171761,6.966817158585657,6.355811568578116
Georgia,10.50886199060552,10.217300706133102,9.91472210738829,9.569198959396669,9.24151028514746
Hawaii,0.7497841209643987,0.7032980514658359,0.663828268068614,0.6269218381602324,0.5815740620211204
Idaho,8.284597455368134,7.724890585728574,7.274549181000771,6.942026726136032,6.417787236396184
Illinois,2.576582393081377,2.37838377985191,2.2179450257465274,2.0850412233645885,1.9751987444964911
Indiana,2.395583635886488,2.2487100116811587,2.131492181965052,2.0370525888402526,1.957394609098976
Iowa,1.469363167413402,1.315773884080213,1.1928363249304743,1.1057416900739134,1.0245406298221191
Kansas,1.2999411329495536,1.0922073882502985,0.9088714854176464,0.7830757145062583,0.6951061765341184
Kentucky,5.866034866590988,5.654159363362262,5.463003739070168,5.32112376631904,5.201653079080983
Louisiana,6.832427455826261,6.5657950239159,6.326096776901849,6.122640567207004,5.884898399476286
Maine,7.397530805972077,7.323478698403238,7.259673261552772,7.189675998717423,7.066708801758698
Maryland,1.4005625379454758,1.3201574336842343,1.2480016530617033,1.172621831401705,1.1178595402668725
Massachusetts,1.6942098706031663,1.6277886719361567,1.5718875019927177,1.506482040448704,1.4449852788538446
Michigan,9.29718733579073,8.965296045349932,8.696012094366509,8.435053139129423,8.141718701499764
Minnesota,8.816835632437959,8.3780448155364,8.049353432287713,7.733040181987711,7.306857375950172
Mississippi,8.216897053174758,8.00140879127632,7.754558050244145,7.546551123886932,7.335120064365854
Missouri,7.544763274750337,7.132721737289925,6.776947845360865,6.498532104496518,6.28853170235087
Montana,8.645958582081159,7.942482357604124,7.4282217204679375,7.058301846830972,6.415029714045299
Nebraska,0.5738738835105094,0.436793652564883,0.3357241491219622,0.2661067676715282,0.203186106029763
Nevada,1.474585876889264,1.027208197640304,0.6813089927040905,0.5139172086924977,0.3902875541126495
New Hampshire,2.1441077898637206,2.116257077238392,2.0926927827595807,2.0674455031383574,2.033600853407995
New Jersey,1.294440303858146,1.194901830050782,1.1283950056275225,1.050217159389888,0.995641640047338
New Mexico,3.285636948642016,2.9120000455760517,2.430255936131194,2.022004466511964,1.6415072931161614
New York,9.059419367523033,8.735289906834788,8.510468303914184,8.291995909518112,8.055804370083882
North Carolina,8.610656177240825,8.34755662665352,8.09103399015033,7.813663856821663,7.579390813249321
North Dakota,0.7452727174870651,0.5408123657413396,0.4092492029202776,0.3280352985584708,0.2506293476733134
Ohio,3.9741318881522094,3.749572404984103,3.570612636449466,3.42564432102843,3.315627563584569
Oklahoma,4.213002884050503,3.8362717159850206,3.458258299131156,3.1970994561153305,2.9665468712523504
Oregon,11.325017248113491,10.433402333675138,9.759961021511698,9.29268242994506,8.629180211870167
Pennsylvania,8.047050660970884,7.767655375478757,7.549203964323521,7.347509974438132,7.162611084692411
Rhode Island,0.2109903586337116,0.2013977544696092,0.1928985559058764,0.1836593535201166,0.176153654137322
South Carolina,5.613855294781752,5.447327012861103,5.276025786977203,5.086607713411618,4.9181063622521455
South Dakota,0.7745339211144455,0.6237949522452733,0.509972897102304,0.4360035196646413,0.3302445716439954
Tennessee,6.683991936668051,6.450819744149832,6.231638141337469,6.045609452833047,5.898384249301566
Texas,10.702174962949815,9.501453353324113,8.428788374238568,7.7010455682483325,7.033672955785367
Utah,2.933838550665165,2.4575457786747243,2.0473953990563563,1.8012658375361297,1.5103039515536016
Vermont,2.0436258975577166,2.0100367180809915,1.9863837248316587,1.9640849137667529,1.929685745581563
Virginia,7.355463531530794,7.155349623252244,6.977585817991462,6.794950943757686,6.636833631853785
Washington,9.441885795188773,9.016126033593489,8.728645129048932,8.49356870390038,8.084159530095446
West Virginia,5.3419080846431415,5.240598925510451,5.162983735366492,5.0976900539432535,5.018668310903337
Wisconsin,7.715147730946225,7.429997256029384,7.196678215356659,6.975357976437207,6.699479493146398
Wyoming,3.2692613910765758,2.9630806102994405,2.676007214389989,2.479217679815445,2.1565408509952446
